ticker,name,sector,region,style,z_momentum,z_valuation,z_growth,z_quality,z_risk,score_raw,score_adj,score,profile,date,z_efficiency,data_completeness,z_value,z_cashflow,z_dividend,debt_flag,quality_of_earnings,operating_cf_margin,cash_ratio,debt_to_ocf_ratio,cash_conversion_cycle,qoe_flag,cf_quality,mom_6m,revenue_cagr_3y,eps_cagr_3y,pe_ttm,roe,operating_margin,fcf_yield,debt_to_equity
TSM,TSMC,Semiconductors,Asia,Blend,0.551,0.517,0.168,0.947,0.25,0.598,21.0,100.0,quality,12-10-25,0.174,74.4,,,,,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,0.164,-0.146,-0.582,-0.43,0.34,-0.271,-7.0,19.52,quality,12-10-25,-0.966,72.1,,,,,,,,,,,,,,,,,,,
UBER,Uber Technologies,Mobility,US,Growth,-0.066,-0.01,0.63,0.168,-0.165,0.167,4.0,51.41,quality,12-10-25,0.664,65.1,,,,,,,,,,,,,,,,,,,
GRAB,Grab Holdings,SuperApp,Asia,Growth,0.462,-1.625,-0.827,-0.532,0.962,-0.432,2.0,44.16,quality,12-10-25,-0.339,67.4,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis,Healthcare,US,Blend,-0.325,-0.279,-0.232,0.698,-0.475,0.105,9.0,65.17,quality,12-10-25,-0.023,74.4,,,,,,,,,,,,,,,,,,,
NU,Nu Holdings,Fintech,LatAm,Growth,0.074,-0.417,0.753,0.085,0.43,0.127,7.0,59.66,quality,12-10-25,-0.236,46.5,,,,,,,,,,,,,,,,,,,
BYD,BYD Company,Automotive,China,Growth,-0.195,0.396,-0.278,0.046,-0.842,-0.036,-8.0,17.39,quality,12-10-25,0.826,74.4,,,,,,,,,,,,,,,,,,,
PYPL,PayPal,Fintech,US,Blend,0.033,0.485,-0.272,-0.199,0.013,-0.071,-5.0,25.65,quality,12-10-25,-0.597,67.4,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet,Tech,US,Blend,0.418,-0.286,-0.056,0.729,0.225,0.339,6.0,57.46,quality,12-10-25,0.262,69.8,,,,,,,,,,,,,,,,,,,
PEP,PepsiCo,Consumer Defensive,US,Value,0.298,0.063,-0.281,-0.07,-0.738,-0.091,-3.0,31.17,quality,12-10-25,-0.029,74.4,,,,,,,,,,,,,,,,,,,
1810.HK,Xiaomi,Consumer Electronics,China,Growth,-0.338,-0.055,-0.017,-0.568,-0.049,-0.319,0.0,38.9,quality,12-10-25,-0.511,62.8,,,,,,,,,,,,,,,,,,,
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.406,-0.567,0.734,0.032,-0.299,-0.035,12.0,73.15,quality,12-10-25,0.363,72.1,,,,,,,,,,,,,,,,,,,
AMZN,Amazon,Ecommerce,US,Growth,-0.202,-0.072,0.03,0.031,-0.24,-0.042,0.0,39.67,quality,12-10-25,0.111,72.1,,,,,,,,,,,,,,,,,,,
MQ,Marqeta,Fintech,US,Growth,-0.671,0.508,-0.701,-0.729,0.803,-0.357,-7.0,19.28,quality,12-10-25,-0.336,60.5,,,,,,,,,,,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,-0.294,1.203,0.067,0.65,0.814,0.528,19.0,94.23,quality,12-10-25,0.813,74.4,,,,,,,,,,,,,,,,,,,
ATAT,Atour Lifestyle,Hospitality,China,Growth,-0.425,0.443,0.736,0.294,0.146,0.278,17.0,87.96,quality,12-10-25,0.652,74.4,,,,,,,,,,,,,,,,,,,
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,0.053,-0.874,0.34,-0.221,-0.104,-0.157,3.0,47.72,quality,12-10-25,0.284,69.8,,,,,,,,,,,,,,,,,,,
TKO,TKO Group Holdings,Media & Sports,US,Blend,-0.09,-0.355,0.028,-0.12,-0.282,-0.123,-5.0,25.51,quality,12-10-25,0.308,69.8,,,,,,,,,,,,,,,,,,,
D05.SI, DBS Group Holdings Ltd, Bank,Singapour,,0.348,0.51,-0.141,-0.082,0.281,0.034,2.0,45.46,quality,12-10-25,-1.369,44.2,,,,,,,,,,,,,,,,,,,
SPHR,Sphere Entertainment,Entertainment,US,Turnaround,0.487,0.675,-0.227,-0.434,-0.613,-0.106,-14.0,0.0,growth,12-10-25,-0.865,65.1,,,,,,,,,,,,,,,,,,,
TSM,TSMC,Semiconductors,Asia,Blend,0.432,0.253,0.194,0.822,0.199,0.374,21.0,100.0,growth,12-10-25,0.212,74.4,,,,,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,0.05,-0.128,-0.622,-0.162,0.266,-0.259,-7.0,19.3,growth,12-10-25,-0.665,72.1,,,,,,,,,,,,,,,,,,,
UBER,Uber Technologies,Mobility,US,Growth,-0.151,-0.018,0.661,0.283,-0.175,0.277,4.0,51.81,growth,12-10-25,0.772,65.1,,,,,,,,,,,,,,,,,,,
GRAB,Grab Holdings,SuperApp,Asia,Growth,0.33,-1.546,-0.908,-0.274,0.904,-0.383,2.0,44.31,growth,12-10-25,-0.244,67.4,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis,Healthcare,US,Blend,-0.379,-0.239,-0.225,0.666,-0.507,-0.094,9.0,64.86,growth,12-10-25,0.037,74.4,,,,,,,,,,,,,,,,,,,
NU,Nu Holdings,Fintech,LatAm,Growth,0.006,-0.346,0.749,0.09,0.412,0.273,7.0,60.26,growth,12-10-25,-0.306,46.5,,,,,,,,,,,,,,,,,,,
BYD,BYD Company,Automotive,China,Growth,-0.258,0.366,-0.273,0.191,-0.856,-0.107,-8.0,16.91,growth,12-10-25,1.015,74.4,,,,,,,,,,,,,,,,,,,
PYPL,PayPal,Fintech,US,Blend,-0.084,0.444,-0.268,-0.03,0.006,-0.096,-5.0,25.39,growth,12-10-25,-0.487,67.4,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet,Tech,US,Blend,0.331,-0.226,-0.039,0.712,0.213,0.212,6.0,57.26,growth,12-10-25,0.364,69.8,,,,,,,,,,,,,,,,,,,
PEP,PepsiCo,Consumer Defensive,US,Value,0.178,0.048,-0.277,0.136,-0.746,-0.096,-3.0,31.03,growth,12-10-25,0.157,74.4,,,,,,,,,,,,,,,,,,,
1810.HK,Xiaomi,Consumer Electronics,China,Growth,-0.386,-0.097,0.004,-0.344,-0.045,-0.179,0.0,39.25,growth,12-10-25,-0.41,62.8,,,,,,,,,,,,,,,,,,,
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.445,-0.587,0.779,0.191,-0.315,0.151,12.0,74.0,growth,12-10-25,0.379,72.1,,,,,,,,,,,,,,,,,,,
AMZN,Amazon,Ecommerce,US,Growth,-0.259,-0.076,0.053,0.239,-0.237,0.0,0.0,39.76,growth,12-10-25,0.343,72.1,,,,,,,,,,,,,,,,,,,
MQ,Marqeta,Fintech,US,Growth,-0.652,0.552,-0.707,-0.444,0.669,-0.35,-7.0,19.04,growth,12-10-25,-0.114,60.5,,,,,,,,,,,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,-0.327,0.918,0.087,0.549,0.706,0.279,19.0,94.09,growth,12-10-25,0.827,74.4,,,,,,,,,,,,,,,,,,,
ATAT,Atour Lifestyle,Hospitality,China,Growth,-0.44,0.29,0.78,0.406,0.105,0.343,17.0,88.64,growth,12-10-25,0.753,74.4,,,,,,,,,,,,,,,,,,,
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,0.006,-0.891,0.375,-0.003,-0.128,0.049,3.0,48.35,growth,12-10-25,0.377,69.8,,,,,,,,,,,,,,,,,,,
TKO,TKO Group Holdings,Media & Sports,US,Blend,-0.14,-0.346,0.037,0.04,-0.305,-0.052,-5.0,25.52,growth,12-10-25,0.415,69.8,,,,,,,,,,,,,,,,,,,
D05.SI, DBS Group Holdings Ltd, Bank,Singapour,,0.238,0.612,-0.132,-0.115,0.256,0.001,2.0,45.4,growth,12-10-25,-1.273,44.2,,,,,,,,,,,,,,,,,,,
ABBNY,ABB Ltd,Industrials,Europe,Blend,0.211,-0.174,-0.306,0.095,-0.182,-0.079,2.0,45.17,growth,12-10-25,0.044,72.1,,,,,,,,,,,,,,,,,,,
KNM,Konami Group Corp,Entertainment,Asia,Blend,0.0,0.0,0.0,0.0,0.0,,0.0,,growth,12-10-25,,0.0,,,,,,,,,,,,,,,,,,,
LMND,Lemonade Inc,Fintech,US,Growth,0.085,0.27,0.376,-0.654,0.304,0.032,4.0,51.12,growth,12-10-25,-0.872,41.9,,,,,,,,,,,,,,,,,,,
NVTS,Navitas Semiconductor,Semiconductors,US,Growth,0.921,-0.118,0.02,-1.92,1.186,-0.155,2.0,44.96,growth,12-10-25,-1.39,60.5,,,,,,,,,,,,,,,,,,,
MHVYF,Mitsubishi Heavy Industries,Industrials,Asia,Value,0.245,0.565,-0.119,-0.33,-0.365,-0.045,13.0,76.27,growth,12-10-25,-0.124,72.1,,,,,,,,,,,,,,,,,,,
SPHR,Sphere Entertainment,Entertainment,US,Turnaround,0.408,0.668,-0.227,-0.434,-0.613,-0.122,-14.0,0.0,growth,13-10-25,-0.865,65.1,,,,,,,,,,,,,,,,,,,
TSM,TSMC,Semiconductors,Asia,Blend,0.536,0.212,0.194,0.822,0.199,0.391,21.0,100.0,growth,13-10-25,0.212,74.4,,,,,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,-0.048,-0.124,-0.622,-0.162,0.266,-0.279,-7.0,19.27,growth,13-10-25,-0.665,72.1,,,,,,,,,,,,,,,,,,,
UBER,Uber Technologies,Mobility,US,Growth,-0.17,-0.018,0.661,0.283,-0.175,0.273,4.0,51.8,growth,13-10-25,0.772,65.1,,,,,,,,,,,,,,,,,,,
GRAB,Grab Holdings,SuperApp,Asia,Growth,0.041,-1.529,-0.908,-0.274,0.904,-0.439,2.0,44.16,growth,13-10-25,-0.244,67.4,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis,Healthcare,US,Blend,-0.277,-0.234,-0.225,0.666,-0.507,-0.073,9.0,64.9,growth,13-10-25,0.037,74.4,,,,,,,,,,,,,,,,,,,
NU,Nu Holdings,Fintech,LatAm,Growth,-0.017,-0.315,0.749,0.09,0.412,0.271,7.0,60.24,growth,13-10-25,-0.306,46.5,,,,,,,,,,,,,,,,,,,
BYD,BYD Company,Automotive,China,Growth,-0.122,0.357,-0.273,0.191,-0.856,-0.081,-8.0,17.01,growth,13-10-25,1.015,74.4,,,,,,,,,,,,,,,,,,,
PYPL,PayPal,Fintech,US,Blend,-0.117,0.454,-0.268,-0.03,0.006,-0.101,-2.0,33.85,growth,13-10-25,-0.487,67.4,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet,Tech,US,Blend,0.27,-0.227,-0.039,0.712,0.213,0.2,6.0,57.22,growth,13-10-25,0.364,69.8,,,,,,,,,,,,,,,,,,,
PEP,PepsiCo,Consumer Defensive,US,Value,0.042,0.061,-0.277,0.136,-0.746,-0.122,-3.0,30.98,growth,13-10-25,0.157,74.4,,,,,,,,,,,,,,,,,,,
1810.HK,Xiaomi,Consumer Electronics,China,Growth,-0.481,-0.047,0.004,-0.344,-0.045,-0.193,0.0,39.22,growth,13-10-25,-0.41,62.8,,,,,,,,,,,,,,,,,,,
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.347,-0.595,0.779,0.191,-0.315,0.17,12.0,74.03,growth,13-10-25,0.379,72.1,,,,,,,,,,,,,,,,,,,
